k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,0,168,0,0,0,11.8333,,,8.93204,6.41029
1,6,162,0,6,71,13,12.1667,0.833333,11.7175,5.93838
2,12,156,0,12,149,12.5,12.1667,0.333333,10.2645,5.65194
3,18,150,18,0,224,11.3333,11.8333,-0.5,6.65372,5.16774
4,24,144,24,0,292,11.5,11.5,0,6.57159,4.80678
5,30,138,30,0,361,11.5,11.5,0,7.0983,4.40432
6,36,132,36,0,430,11.3333,11.5,-0.166667,6.75427,3.98263
7,42,126,42,0,498,12.1667,11.3333,0.833333,7.83534,3.51362
8,48,120,48,0,571,11.8333,11.8333,0,8.34689,3.25505
9,54,114,54,0,642,11.6667,11.6667,0,7.73022,2.86488
10,60,108,60,0,712,11.5,12.3333,-0.833333,5.87433,2.64894
11,66,102,66,0,781,10.6667,11.1667,-0.5,5.50359,2.29146
12,72,96,72,0,845,10.5,10.8333,-0.333333,5.55455,2.09349
13,78,90,78,0,908,11.1667,11.3333,-0.166667,5.89908,1.82236
14,84,84,84,0,975,12.3333,11.5,0.833333,8.53541,1.56551
15,90,78,90,0,1049,12.6667,12.6667,0,8.8389,1.36908
16,96,72,96,0,1125,12.1667,12.5,-0.333333,8.44054,1.16533
17,102,66,102,0,1198,11.8333,12.6667,-0.833333,8.04825,0.973037
18,108,60,108,0,1269,11.6667,12.5,-0.833333,8.83221,0.780641
19,114,54,114,0,1339,11.3333,11.3333,0,8.76118,0.633676
20,120,48,120,0,1407,11.8333,10.6667,1.16667,9.48416,0.503524
21,126,42,126,0,1478,11.1667,10.8333,0.333333,7.18299,0.366327
22,132,36,132,0,1545,11.1667,11.6667,-0.5,6.63847,0.272536
23,138,30,138,0,1612,11.8333,11.8333,0,6.29503,0.18623
24,144,24,144,0,1683,11.1667,11.3333,-0.166667,6.37476,0.106498
25,150,18,150,0,1750,11.3333,11.5,-0.166667,7.27826,0.0468117
26,156,12,156,0,1818,11.8333,11.8333,0,6.56804,0.0111823
27,162,6,162,0,1889,11,11,0,6.10078,0.000222542
